"ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0072686","mitotic spindle","93/7913","184/19960",0.505434782608696,1.27492458749773,3.03636365052511,0.00168453015028619,0.0366003720205665,0.0309910431207687,"ARHGEF7/ASPM/CCDC117/CCSAP/CD180/CDC14A/CDC27/CDC42/CDK1/CDK5RAP2/CENPE/CEP295/CKAP2/CKAP2L/CLASP1/CLASP2/CLTC/CNTRL/CUL3/DCDC1/DCDC2/DLGAP5/DR1/DYNLL1/ECT2/EFHC1/EML4/EPB41/ESPL1/GIT1/GPSM2/GPX2/HAUS3/HAUS6/HECW2/HNRNPU/HSF1/KAT2B/KATNBL1/KIF11/KIF18A/KIF18B/KIF20B/KIF23/KIFC2/KNSTRN/MAK/MAP10/MAPK1/MBIP/MISP/MYF6/NCOR1/NEDD9/NIN/NSMCE1/NUDC/PHLPP2/PKD2/PKHD1/PKP4/PYCR3/RANGAP1/RMDN1/RMDN2/SGF29/SKA1/SKA3/SLC34A1/SMC1A/SMC3/SMC6/SPAG5/SPOUT1/STAG1/STAG2/TBCK/TBL1X/TBL1XR1/TMEM9/TNKS/TPR/TUBB1/TUBB2B/TUBB4B/TUBB6/TUBB8B/USP44/WAPL/WNK1/YEATS2/YPEL5/ZZZ3",93
"GO:1902911","protein kinase complex","79/7913","153/19960",0.516339869281046,1.30243192099705,3.0434383543702,0.00169505056608884,0.0366003720205665,0.0309910431207687,"ACVR1B/ACVR1C/ACVR2A/ACVR2B/ATG101/AZI2/C9orf72/CAB39/CAB39L/CCNA1/CCNA2/CCNB3/CCNC/CCND2/CCNE2/CCNH/CCNJ/CCNK/CCNL1/CCNO/CCNQ/CCNT1/CCNT2/CDK1/CDK10/CDK12/CDK13/CDK14/CDK19/CDK4/CDK5/CDK5R1/CDK5R2/CDK6/CHUK/CKS2/CSNK2A1/CSNK2A2/CSNK2B/DAPK1/ERC1/ERN1/GTF2H2/IGF1R/IKBKE/INSR/MAP3K5/MED12/MED13/NEK10/PARD6A/PHKA1/PHKA2/PHKB/PHKG1/PRKAA1/PRKAB2/PRKACB/PRKAG1/PRKAR1A/PRKAR2A/PRKAR2B/PRKDC/PSG9/PYCARD/PYDC1/RB1/RB1CC1/SMCR8/STING1/STRADA/TANK/TBC1D5/TBK1/TGFBR1/TGFBR2/TRIM40/WDR41/XRCC5",79
"GO:0005769","early endosome","204/7913","438/19960",0.465753424657534,1.17483108254321,2.99843103605768,0.00170257064003094,0.0366003720205665,0.0309910431207687,"ACKR2/ACKR3/ACKR4/ALS2/ANGPTL3/ANK2/ANKFY1/ANKRD13B/ANXA1/AP1G1/AP1S2/AP1S3/AP3B1/AP3B2/AP3M1/AP3S2/APBB2/APOA1/APOA2/APOB/APOC3/APP/APPL1/APPL2/ARC/ARL8B/ARRDC3/ARRDC4/ATP11A/ATP11B/ATP11C/ATP13A3/ATP13A4/ATP7A/ATP9A/BACE1/BLTP3B/BOK/CAV1/CCDC154/CCDC93/CD274/CFTR/CHMP3/CLCN3/CLCN5/CLVS1/CMTM6/CNTNAP2/COMMD1/CORO1A/CYTIP/DAGLA/DERL1/DIAPH2/DNAJC13/DOP1B/DTX3L/DYSF/ECPAS/EEA1/EPS15/F2RL1/F8A2/F8A3/FCGR1A/FCGR1BP/FERRY3/FGD5/FIG4/FKBP15/FZD5/GPER1/GPR107/GRIA1/HLA-A/HLA-C/HLA-H/HPS5/HTT/HYAL3/IGF2R/INPP4A/INPP5F/ITCH/KCNH1/KIAA0319/KIF16B/KREMEN2/LDLRAD4/LMTK2/LNPEP/LRP1/LRP6/LTF/MAP2K2/MAPK1/MARCHF1/MARCHF8/MIB2/MME/MMGT1/MON2/MR1/MTMR2/MTMR4/MYO1B/MYO1D/MYO5A/NAPEPLD/NCSTN/NEU3/NME1/NOX1/NRP1/NSG2/NTRK2/NUMB/OCRL/OSBPL6/PCSK9/PDLIM4/PHETA1/PICALM/PIKFYVE/PLEKHA3/PLEKHF1/PLEKHF2/PLEKHJ1/PPP1R21/PSEN1/PSEN2/PTP4A3/RAB14/RAB21/RAB31/RAB5A/RABEP1/RABGAP1L/RABGEF1/RAP1A/RASGEF1B/RHOD/RPS6KC1/RUSC1/SAMD9L/SGK3/SH3GL1/SH3GL3/SLC15A4/SLC1A1/SLC31A1/SLC9A6/SNX1/SNX13/SNX16/SNX17/SNX19/SNX27/SNX30/SNX6/SNX7/SORL1/SORT1/ST8SIA2/STAM/STAM2/STAMBP/STEAP4/STX12/STX6/STX7/TBC1D2B/TBCK/TFRC/TICAM2/TLR4/TMEM108/TMEM163/TMEM184A/TMEM30A/TRAK1/TRAK2/USP10/USP8/VAMP3/VAMP8/VPS13B/VPS28/VPS35/VPS41/VPS8/WASF2/WASH6P/WASHC4/WASHC5/WDFY1/WDFY2/WDFY4/WDR91/WLS/ZFYVE16/ZFYVE26/ZMPSTE24",204
"GO:0031463","Cul3-RING ubiquitin ligase complex","35/7913","59/19960",0.593220338983051,1.49635763504381,3.09445220610398,0.00172980474567563,0.0366003720205665,0.0309910431207687,"ARIH1/CCIN/CUL3/DEPDC5/GAN/IVNS1ABP/KBTBD12/KBTBD2/KBTBD6/KBTBD7/KBTBD8/KCTD17/KEAP1/KLHL10/KLHL11/KLHL15/KLHL17/KLHL2/KLHL23/KLHL24/KLHL28/KLHL29/KLHL30/KLHL35/KLHL38/KLHL41/KLHL42/KLHL5/KLHL6/KLHL8/KLHL9/LZTR1/PDCD6/PEF1/SPOPL",35
"GO:0031256","leading edge membrane","92/7913","182/19960",0.505494505494505,1.2750752343827,3.02131854328976,0.00176925747138226,0.0366003720205665,0.0309910431207687,"ADAM17/ADGRE2/ADORA2A/AIF1/AKAP5/AMPH/ANTXR1/APC/APPL2/ARHGAP44/ARHGAP45/ARHGEF2/BMX/C2CD5/CD44/CDC42/CDKL5/CFL1/CLASP2/CLCN3/CNTNAP2/CORO1C/DAGLA/DLC1/DOCK8/DPP4/EPB41L3/EPB41L5/EPS8L1/EPS8L2/FAP/FERMT1/FERMT2/FGD5/GABRA1/GABRA3/GABRA6/GABRE/GABRG2/GABRG3/GPER1/GRIA1/INSR/ITGAV/ITGB1/JCAD/KCNA2/KCNB1/KCNC1/KCNC3/KCNC4/KCNJ11/KCNN4/KSR1/LCP1/MACF1/MTMR6/MTMR9/MYO1D/NCKAP1/NME1/PAK1/PDE9A/PDXP/PKHD1L1/PLA2G4F/PLCG2/PLXND1/PSD3/PTPRJ/PTPRK/RIGI/RIPOR2/SCIMP/SGCE/SH3BGRL3/SHISA8/SHISA9/SLC1A2/SLC39A6/SPATA13/SPRY4/SPTBN1/SYNE2/TIAM1/TIRAP/TLN1/TPM1/TWF1/UNC5A/USH2A/VEZT",92
"GO:0000228","nuclear chromosome","116/7913","236/19960",0.491525423728814,1.23983918332202,3.00385633589308,0.00180157271603825,0.0366003720205665,0.0309910431207687,"ADD3/AGO3/ARID4A/ARID4B/ATRX/BAZ1A/BAZ1B/BLM/BRCA1/BRCA2/BRMS1/BRMS1L/CDC5L/CHD1/CHEK1/CPSF6/CSNK2A1/DHX9/DMC1/EME1/EP400/ETAA1/EXOSC9/FAM9A/FAM9B/FIGNL1/FIRRE/GINS1/H2AX/HDAC2/HDAC8/HELB/HNRNPU/HORMAD1/HORMAD2/HUS1/IHO1/INCENP/ING3/INO80/INO80D/KASH5/KMT2E/LRIF1/LRPPRC/MACROH2A1/MCM10/MEI4/MLH3/MMS22L/MORF4L1/MSH4/MUS81/NCAPD3/NCAPG/NCAPG2/NCAPH2/NEK2/OGT/ORC2/ORC3/ORC4/P3H4/PBRM1/POLA1/POLA2/POLD1/POLD2/POLD3/POLE2/POLE4/PRIM2/PSMC3IP/RAD21/RAD9B/RNF212B/RPA4/RUVBL2/SAP130/SETD5/SETX/SHOC1/SIN3A/SLX1B/SMARCA5/SMARCAD1/SMARCE1/SMC1A/SMC1B/SMC2/SMC3/SMC4/SMCHD1/SPIDR/SRCAP/STAG3/SUDS3/SWI5/SYCE1/SYCP1/SYCP2/SYCP3/TARDBP/TET1/TEX12/TFPT/TONSL/TOP1/TOP2A/TOPBP1/TRIM24/TRRAP/TTN/WDHD1/YY1AP1/ZRANB3",116
"GO:0042581","specific granule","82/7913","160/19960",0.5125,1.29274611398964,3.01313820270361,0.00185132947689207,0.0366468296451456,0.0310303807058023,"ADAM10/AGPAT2/ANO6/ANXA3/ARG1/ARMC8/ATP11A/ATP8A1/ATP8B4/BPI/BST1/CD33/CD36/CD47/CD59/CD93/CEACAM8/CEP290/CFP/CHI3L1/CHIT1/CLCN3/CLEC4D/CLEC5A/CMTM6/CRACR2A/CRISP3/CTSD/CXCL1/CYBA/CYBB/CYFIP1/DEFA4/DOCK2/FCAR/FPR2/FRK/GSDMD/HMOX2/HP/HPSE/ITGAV/KPNB1/LAMTOR2/LAMTOR3/LRG1/LRRC7/LTF/LYZ/MCEMP1/MMP8/MOSPD2/MS4A3/NEU1/NFKB1/OLFM4/OLR1/P2RX1/PLAU/PLD1/PRG3/PTPRB/PTPRJ/QPCT/RAB27A/RAP1A/RAP2B/SCAMP1/SLC15A4/SLC27A2/SLCO4C1/SNAP25/STXBP3/TARM1/TCN1/TIMP2/TMC6/TMEM30A/TRPM2/UBR4/VAMP8/VCL",82
"GO:1902554","serine/threonine protein kinase complex","72/7913","139/19960",0.517985611510791,1.30658319294268,2.93963547041064,0.00237659651057238,0.0458683126540469,0.0388385903438275,"ACVR1B/ACVR1C/ACVR2A/ACVR2B/ATG101/AZI2/C9orf72/CAB39/CAB39L/CCNA1/CCNA2/CCNB3/CCNC/CCND2/CCNE2/CCNH/CCNJ/CCNK/CCNL1/CCNO/CCNQ/CCNT1/CCNT2/CDK1/CDK10/CDK12/CDK13/CDK14/CDK19/CDK4/CDK5/CDK5R1/CDK5R2/CDK6/CHUK/CKS2/CSNK2A1/CSNK2A2/CSNK2B/DAPK1/ERC1/ERN1/GTF2H2/IKBKE/MED12/MED13/PARD6A/PHKA1/PHKA2/PHKB/PHKG1/PRKACB/PRKAR1A/PRKAR2A/PRKAR2B/PRKDC/PSG9/PYCARD/PYDC1/RB1/RB1CC1/SMCR8/STING1/STRADA/TANK/TBC1D5/TBK1/TGFBR1/TGFBR2/TRIM40/WDR41/XRCC5",72
"GO:0000151","ubiquitin ligase complex","167/7913","355/19960",0.470422535211268,1.18660859380979,2.87516590834902,0.00255487441930086,0.0464866934663053,0.0393621988581614,"AMN1/ANAPC1/ANAPC10/ANAPC11/ANAPC4/ANKIB1/ANKRD9/APPBP2/ARIH1/ARMC8/ASB2/BARD1/BCOR/BRCA1/BRCA2/BUB1B/CAND1/CBLL1/CBX2/CBX8/CCIN/CDC27/CKS2/COMMD1/COP1/CRBN/CUL2/CUL3/CUL4B/CUL5/DAW1/DCAF1/DCAF12/DCAF12L1/DCAF16/DCAF17/DCAF4L1/DCAF6/DCAF7/DCUN1D1/DCUN1D3/DCUN1D4/DEPDC5/DET1/DMAC2/DTL/DYRK2/ELOB/ERCC8/FBXL13/FBXL15/FBXL17/FBXL2/FBXL20/FBXL3/FBXL4/FBXL5/FBXL6/FBXO11/FBXO17/FBXO2/FBXO24/FBXO25/FBXO3/FBXO38/FBXO44/FBXO45/FBXO48/FBXO8/FBXW11/FBXW5/FBXW7/FBXW8/FEM1B/FEM1C/GAN/IVNS1ABP/KBTBD12/KBTBD2/KBTBD6/KBTBD7/KBTBD8/KCTD17/KEAP1/KLHDC1/KLHDC10/KLHDC3/KLHL10/KLHL11/KLHL15/KLHL17/KLHL2/KLHL23/KLHL24/KLHL28/KLHL29/KLHL30/KLHL35/KLHL38/KLHL41/KLHL42/KLHL5/KLHL6/KLHL8/KLHL9/LMO7/LZTR1/MAD2L2/MARCHF6/MAVS/MED1/MED12/MED17/MED21/MED6/MIB2/MKLN1/NEDD4/OTULIN/PCGF3/PCGF5/PCMTD1/PDCD6/PEF1/PHC3/RAD18/RANBP9/RCHY1/RMND5A/RNF144A/RNF144B/RNF19A/RNF2/RNF20/RNF217/RNF31/SAMD11/SAMD7/SEL1L/SHARPIN/SKP1/SKP2/SMURF2/SOCS2/SPOPL/SPSB1/SPSB2/STUB1/TOPORS/TRAF2/UBE2E1/UBE2S/UBE2V1/UBE4A/UBE4B/UBR1/UBR2/UBR3/USP33/USP47/WDR26/WWP1/YPEL5/ZSWIM5/ZSWIM6/ZYG11A/ZYG11B",167
"GO:0005875","microtubule associated complex","80/7913","157/19960",0.509554140127389,1.28531538442344,2.9087743978025,0.00256203966225906,0.0464866934663053,0.0393621988581614,"ACTR1B/APPBP2/BORCS5/CFAP70/DCTN3/DCTN4/DCTN6/DISC1/DNAH1/DNAH10/DNAH11/DNAH12/DNAH14/DNAH17/DNAH3/DNAH6/DNAH7/DNAH8/DNAH9/DNAI4/DNAL1/DNHD1/DRC1/DYNC1H1/DYNC1I1/DYNC1I2/DYNC1LI2/DYNC2H1/DYNC2I2/DYNLL1/DYNLT4/DYNLT5/FBXW11/FNTB/HAUS3/HAUS6/INCENP/KATNAL1/KATNAL2/KATNB1/KATNBL1/KIF11/KIF13A/KIF13B/KIF14/KIF15/KIF16B/KIF17/KIF18A/KIF18B/KIF1B/KIF20A/KIF20B/KIF23/KIF27/KIF28P/KIF2A/KIF4A/KIF5A/KIF5B/KIF5C/KIF6/KIFC2/KLC3/LRP8/MAP1A/MAP1B/MAP2/MAP7/MEFV/MID1/NDEL1/NME8/ODAD1/PAFAH1B1/RABGAP1/RANBP9/SHTN1/TPR/TRIM54",80
