GeneID,N,Estimate_Age,Std.Error_Age,T.Value_Age,P.Value_Age,Model.R.Squared,adj.P.Value,Signif,IsMito
ENSG00000223551,51,2.512253992317,0.782658453421975,3.20989824020019,0.00236921338953826,0.223861821516698,0.184798644383984,FALSE,FALSE
ENSG00000002726,51,0.0157977963460089,0.100498726730242,0.157193994988744,0.875751330528374,0.0230085017179244,0.971368901543181,FALSE,FALSE
ENSG00000137819,51,0.0536242111943712,0.0348969960091017,1.53664261475071,0.130947128075209,0.0524185763692319,0.971368901543181,FALSE,FALSE
ENSG00000146205,51,0.0619628772918503,0.0868535390097,0.713417990773296,0.479041608771335,0.133470474719536,0.971368901543181,FALSE,FALSE
ENSG00000156049,51,0.0291992427836928,0.029327403017263,0.995630017649543,0.324422768222613,0.156226471048264,0.971368901543181,FALSE,FALSE
ENSG00000164695,51,-0.0127177732349436,0.0130075090264883,-0.977725497560319,0.333112296158956,0.0442576603306562,0.971368901543181,FALSE,FALSE
ENSG00000174944,51,-0.0466532785998462,0.408888352542802,-0.114097841891846,0.909636154135533,0.00106589557641423,0.971368901543181,FALSE,FALSE
ENSG00000198075,51,0.0491629214057838,0.0271073549334151,1.81363772033622,0.0759877227261792,0.130732564320654,0.971368901543181,FALSE,FALSE
ENSG00000211626,51,-0.00472770053961177,0.00612089894924935,-0.772386634514129,0.443672056563139,0.0208172362632935,0.971368901543181,FALSE,FALSE
ENSG00000229344,51,-1.77526719418648,7.87879891422098,-0.22532205904915,0.822685322077083,0.00656875910101596,0.971368901543181,FALSE,FALSE
ENSG00000288349,51,-0.111629807164707,0.0929804809054566,-1.20057248658687,0.235808563522623,0.233376737594558,0.971368901543181,FALSE,FALSE
ENSG00000054938,51,-0.0295937990324884,0.0986488909090815,-0.299991198682235,0.765479223318694,0.0410877728943526,0.971368901543181,FALSE,FALSE
ENSG00000070729,51,0.0366765976585007,0.0532702398348462,0.688500704562421,0.494451884916375,0.0103256555695696,0.971368901543181,FALSE,FALSE
ENSG00000102239,51,-0.10593051137964,0.185891770220577,-0.569850463277339,0.571436737081525,0.0222232950973829,0.971368901543181,FALSE,FALSE
ENSG00000104332,51,0.11163981562637,0.197115575871664,0.566367295596446,0.573782845691704,0.0266309622633937,0.971368901543181,FALSE,FALSE
ENSG00000151224,51,0.00635059304528888,0.0139104663034912,0.456533440844828,0.650065625358404,0.0163705235818794,0.971368901543181,FALSE,FALSE
ENSG00000171403,51,0.00883073981064179,0.00813299697057137,1.08579160211115,0.282994246274512,0.0477366712851242,0.971368901543181,FALSE,FALSE
ENSG00000171747,51,-0.143687827162959,0.578357805664859,-0.248441061494417,0.804853047155624,0.0741685202916284,0.971368901543181,FALSE,FALSE
ENSG00000196634,51,-0.0189526614401452,0.0490361765183705,-0.386503654766902,0.700831801664931,0.0281711353494609,0.971368901543181,FALSE,FALSE
ENSG00000198153,51,-0.0283752464785476,0.0454893872402985,-0.623777285208411,0.535727137264634,0.0251769215669041,0.971368901543181,FALSE,TRUE
ENSG00000198727,51,-240.165740686574,2091.04107887595,-0.114854625819057,0.909039468472763,0.000747966233251699,0.971368901543181,FALSE,TRUE
ENSG00000198938,51,-634.186010322196,2923.3274871828,-0.216939776026722,0.829174735040748,0.00100856286179852,0.971368901543181,FALSE,TRUE
ENSG00000200227,51,-0.0235287315523694,0.0632194085204008,-0.372175762207215,0.711400145499566,0.025077253141433,0.971368901543181,FALSE,FALSE
ENSG00000200520,51,-0.0527752466356088,0.0670675426783479,-0.786896977703743,0.435210316424574,0.0435612354468969,0.971368901543181,FALSE,FALSE
ENSG00000210077,51,-0.0262348123368038,0.0455728283968639,-0.575667854282425,0.567528925622705,0.0235032735922084,0.971368901543181,FALSE,FALSE
ENSG00000214097,51,-0.0333176399593146,0.209638694925677,-0.15892886554711,0.874391738417623,0.0279282564548216,0.971368901543181,FALSE,FALSE
ENSG00000214321,51,-0.0153535406760401,0.0353684529249921,-0.434102693397452,0.666158960784445,0.0446805253690772,0.971368901543181,FALSE,FALSE
ENSG00000215874,51,-0.0442531773139681,0.0628533850037069,-0.704069913042204,0.484791094943564,0.0346142445175398,0.971368901543181,FALSE,FALSE
ENSG00000219163,51,-0.222363214033746,0.187181192937685,-1.18795702999806,0.2406953826027,0.0962438287520316,0.971368901543181,FALSE,FALSE
ENSG00000222932,51,-0.00986942353819567,0.0565141805877618,-0.174636231748407,0.862100011249819,0.0316485683620108,0.971368901543181,FALSE,FALSE
ENSG00000225284,51,-0.0291539444787208,0.0791043319598979,-0.368550542762948,0.714083322687032,0.0542278166990084,0.971368901543181,FALSE,FALSE
ENSG00000225349,51,-0.0678484908845488,0.0630877657171534,-1.07546193962138,0.287544189901056,0.0949198540825798,0.971368901543181,FALSE,FALSE
ENSG00000225630,51,-8.84308016798917,16.1404227320308,-0.547884049557141,0.586310493086026,0.0202426509456463,0.971368901543181,FALSE,FALSE
ENSG00000226348,51,-0.0182358736342618,0.0598494776132336,-0.304695619101437,0.761915204381252,0.0270959769931536,0.971368901543181,FALSE,FALSE
ENSG00000226629,51,0.00103891056595786,0.000956823173008396,1.08579160211115,0.282994246274512,0.0477366712851242,0.971368901543181,FALSE,FALSE
ENSG00000232117,51,-0.0424944921959369,0.122338380094255,-0.347352091495713,0.729845294979838,0.023709865788403,0.971368901543181,FALSE,FALSE
ENSG00000238420,51,-0.0719292493771642,0.110500018661498,-0.650943323344673,0.51818725399343,0.0431628119959579,0.971368901543181,FALSE,FALSE
